0 isrefint.q   42    -gc MarkSweep -heapsize 1638400
1 fibserial.q  20    -gc MarkSweep -heapsize 16384
1 primes.q    100    -gc MarkSweep -heapsize   800
1 primes.q    100    -gc MarkSweep -heapsize   400
1 sortdet.q    42    -gc MarkSweep -heapsize  1024
1 append2.q    42    -gc MarkSweep -heapsize    80
1 append2.q    42    -gc MarkSweep -heapsize   120
1 append.q     42    -gc MarkSweep -heapsize    64
1 append.q     42    -gc MarkSweep -heapsize    72
1 garbage.q 10000    -gc MarkSweep -heapsize 16384
1 cycles.q  10000    -gc MarkSweep -heapsize 16384
1 whoops.q     42    -gc MarkSweep -heapsize 16384
1 temproot.q 1000    -gc MarkSweep -heapsize  1440
1 cycles2.q    1000  -gc MarkSweep -heapsize 16384
1 fibfree.q      22  -gc MarkSweep -heapsize  1000
1 garbage2.q    100  -gc MarkSweep -heapsize  1000
1 sortdet2.q     42  -gc MarkSweep -heapsize  4000
1 append2.q      42  -gc MarkSweep -heapsize    80
1 append2.q      42  -gc MarkSweep -heapsize   120
1 memLeak.q      20  -gc MarkSweep -heapsize    96
1 memLeak.q      20  -gc MarkSweep -heapsize    72
1 flip2.q         5  -gc MarkSweep -heapsize   240
1 flip2.q         5  -gc MarkSweep -heapsize   216
1 twoCells.q  10000  -gc MarkSweep -heapsize    48
1 twoCells.q  10000  -gc MarkSweep -heapsize    24
1 randomList.q   10  -gc MarkSweep -heapsize   240
1 fibserial.q 21 -gc MarkSweep -heapsize 16384
1 fibfree.q 21 -gc MarkSweep -heapsize 1000
1 primes.q 200 -gc MarkSweep -heapsize 2800
1 primes.q 200 -gc MarkSweep -heapsize 2400
1 append.q 42 -gc MarkSweep -heapsize 64
1 append.q 42 -gc MarkSweep -heapsize 72
1 garbage.q 5000 -gc MarkSweep -heapsize 16384
1 cycles.q 7000 -gc MarkSweep -heapsize 16384
1 whoops.q 100 -gc MarkSweep -heapsize 16384
1 temproot.q 2000 -gc MarkSweep -heapsize 1440
1 cycles2.q 2000 -gc MarkSweep -heapsize 16384
1 garbage2.q 200 -gc MarkSweep -heapsize 1000
1 sortdet2.q 42 -gc MarkSweep -heapsize 2000
1 memLeak.q 42 -gc MarkSweep -heapsize 96
1 memLeak.q 42 -gc MarkSweep -heapsize 72
1 flip2.q 15 -gc MarkSweep -heapsize 720
1 flip2.q 15 -gc MarkSweep -heapsize 648
1 twoCells.q 2000 -gc MarkSweep -heapsize 48
1 twoCells.q 2000 -gc MarkSweep -heapsize 24
1 randomList.q 20 -gc MarkSweep -heapsize 480
1 sortdet4.q 42 -gc MarkSweep -heapsize 4000
1 sortdet4.q 42 -gc MarkSweep -heapsize 2000
1 flip3.q 20 -gc MarkSweep -heapsize 720
1 insertionsort2.q 42 -gc MarkSweep -heapsize 1800
1 primes.q 20 -gc MarkSweep -heapsize 240
1 primes.q 30 -gc MarkSweep -heapsize 240
1 sSort.q 3 -gc MarkSweep -heapsize 960
1 sBinarySearch.q 3 -gc MarkSweep -heapsize 960
1 cycles2.q 10 -gc MarkSweep -heapsize 48
1 cycles2.q 10 -gc MarkSweep -heapsize 104
1 serialqsort.q 42 -gc MarkSweep -heapsize 12000
1 serialqsort.q 42 -gc MarkSweep -heapsize 8000
1 memLeak2.q 3 -gc MarkSweep -heapsize 256
1 append3.q 42 -gc MarkSweep -heapsize 240
1 append3.q 42 -gc MarkSweep -heapsize 360
1 temproot.q 10000 -gc MarkSweep -heapsize 240
1 temproot2.q 10 -gc MarkSweep -heapsize 600
1 temproot2.q 10 -gc MarkSweep -heapsize 400
1 randomList.q 25 -gc MarkSweep -heapsize 600
1 serialbubblish.q 42 -gc MarkSweep -heapsize 4000
1 serialbubblish.q 42 -gc MarkSweep -heapsize 2000
1 fibfree.q 18 -gc MarkSweep -heapsize 80
1 whoops2.q 100 -gc MarkSweep -heapsize 400
1 whoops2.q 100 -gc MarkSweep -heapsize 200
1 append4.q    42    -gc MarkSweep -heapsize 600
1 append4.q    42    -gc MarkSweep -heapsize 400
1 memLeak3.q 400 -gc MarkSweep -heapsize 9624
1 memLeak3.q 400 -gc MarkSweep -heapsize 9648
0 isrefint.q 42
